colour	x	y	key	showSelectedlegendsizecolour	showSelected1	showSelected2	PANEL	fill
#00BFFF	0.5	0	1	OPART	0.01	1	2	#00BFFF
#00BFFF	1.5	0	1	OPART	0.01	2	2	#00BFFF
#00BFFF	2.5	0	1	OPART	0.01	3	2	#00BFFF
#00BFFF	3.5	0	1	OPART	0.01	4	2	#00BFFF
#00BFFF	4.5	0	1	OPART	0.01	5	2	#00BFFF
#00BFFF	5.5	0	1	OPART	0.01	6	2	#00BFFF
#00BFFF	6.5	0	1	OPART	0.01	7	2	#00BFFF
#00BFFF	7.5	0	1	OPART	0.01	8	2	#00BFFF
#00BFFF	8.5	0	1	OPART	0.01	9	2	#00BFFF
#00BFFF	9.5	0	1	OPART	0.01	10	2	#00BFFF
#00BFFF	10.5	0	1	OPART	0.01	11	2	#00BFFF
#00BFFF	11.5	0	1	OPART	0.01	12	2	#00BFFF
#00BFFF	12.5	0	1	OPART	0.01	13	2	#00BFFF
#00BFFF	13.5	0	1	OPART	0.01	14	2	#00BFFF
#00BFFF	14.5	0	1	OPART	0.01	15	2	#00BFFF
#00BFFF	15.5	0	1	OPART	0.01	16	2	#00BFFF
#00BFFF	16.5	0	1	OPART	0.01	17	2	#00BFFF
#00BFFF	17.5	0	1	OPART	0.01	18	2	#00BFFF
#00BFFF	18.5	0	1	OPART	0.01	19	2	#00BFFF
#00BFFF	19.5	0	1	OPART	0.01	20	2	#00BFFF
#00BFFF	20.5	0	1	OPART	0.01	21	2	#00BFFF
#00BFFF	21.5	0	1	OPART	0.01	22	2	#00BFFF
#00BFFF	22.5	0	1	OPART	0.01	23	2	#00BFFF
#00BFFF	23.5	0	1	OPART	0.01	24	2	#00BFFF
#00BFFF	24.5	0	1	OPART	0.01	25	2	#00BFFF
#00BFFF	25.5	0	1	OPART	0.01	26	2	#00BFFF
#00BFFF	26.5	0	1	OPART	0.01	27	2	#00BFFF
#00BFFF	27.5	0	1	OPART	0.01	28	2	#00BFFF
#00BFFF	28.5	0	1	OPART	0.01	29	2	#00BFFF
#00BFFF	29.5	0	1	OPART	0.01	30	2	#00BFFF
#00BFFF	30.5	0	1	OPART	0.01	31	2	#00BFFF
#00BFFF	31.5	0	1	OPART	0.01	32	2	#00BFFF
#00BFFF	32.5	0	1	OPART	0.01	33	2	#00BFFF
#00BFFF	33.5	0	1	OPART	0.01	34	2	#00BFFF
#00BFFF	34.5	0	1	OPART	0.01	35	2	#00BFFF
#00BFFF	35.5	0	1	OPART	0.01	36	2	#00BFFF
#00BFFF	36.5	0	1	OPART	0.01	37	2	#00BFFF
#00BFFF	37.5	0	1	OPART	0.01	38	2	#00BFFF
#00BFFF	38.5	0	1	OPART	0.01	39	2	#00BFFF
#00BFFF	39.5	0	1	OPART	0.01	40	2	#00BFFF
#00BFFF	39.5	0	1	OPART	0.01	41	2	#00BFFF
#00BFFF	41.5	0	1	OPART	0.01	42	2	#00BFFF
#00BFFF	42.5	0	1	OPART	0.01	43	2	#00BFFF
#00BFFF	43.5	0	1	OPART	0.01	44	2	#00BFFF
#00BFFF	44.5	0	1	OPART	0.01	45	2	#00BFFF
#00BFFF	45.5	0	1	OPART	0.01	46	2	#00BFFF
#00BFFF	46.5	0	1	OPART	0.01	47	2	#00BFFF
#00BFFF	47.5	0	1	OPART	0.01	48	2	#00BFFF
#00BFFF	47.5	0	1	OPART	0.01	49	2	#00BFFF
#00BFFF	49.5	0	1	OPART	0.01	50	2	#00BFFF
#00BFFF	50.5	0	1	OPART	0.01	51	2	#00BFFF
#00BFFF	51.5	0	1	OPART	0.01	52	2	#00BFFF
#00BFFF	52.5	0	1	OPART	0.01	53	2	#00BFFF
#00BFFF	53.5	0	1	OPART	0.01	54	2	#00BFFF
#00BFFF	54.5	0	1	OPART	0.01	55	2	#00BFFF
#00BFFF	55.5	0	1	OPART	0.01	56	2	#00BFFF
#00BFFF	56.5	0	1	OPART	0.01	57	2	#00BFFF
#00BFFF	57.5	0	1	OPART	0.01	58	2	#00BFFF
#00BFFF	58.5	0	1	OPART	0.01	59	2	#00BFFF
#00BFFF	59.5	0	1	OPART	0.01	60	2	#00BFFF
#00BFFF	60.5	0	1	OPART	0.01	61	2	#00BFFF
#00BFFF	61.5	0	1	OPART	0.01	62	2	#00BFFF
#00BFFF	62.5	0	1	OPART	0.01	63	2	#00BFFF
#00BFFF	63.5	0	1	OPART	0.01	64	2	#00BFFF
#00BFFF	64.5	0	1	OPART	0.01	65	2	#00BFFF
#00BFFF	65.5	0	1	OPART	0.01	66	2	#00BFFF
#00BFFF	66.5	0	1	OPART	0.01	67	2	#00BFFF
#00BFFF	67.5	0	1	OPART	0.01	68	2	#00BFFF
#00BFFF	68.5	0	1	OPART	0.01	69	2	#00BFFF
#00BFFF	69.5	0	1	OPART	0.01	70	2	#00BFFF
#00BFFF	69.5	0	1	OPART	0.01	71	2	#00BFFF
#00BFFF	71.5	0	1	OPART	0.01	72	2	#00BFFF
#00BFFF	72.5	0	1	OPART	0.01	73	2	#00BFFF
#00BFFF	73.5	0	1	OPART	0.01	74	2	#00BFFF
#00BFFF	74.5	0	1	OPART	0.01	75	2	#00BFFF
#00BFFF	75.5	0	1	OPART	0.01	76	2	#00BFFF
#00BFFF	76.5	0	1	OPART	0.01	77	2	#00BFFF
#00BFFF	77.5	0	1	OPART	0.01	78	2	#00BFFF
#00BFFF	78.5	0	1	OPART	0.01	79	2	#00BFFF
#00BFFF	79.5	0	1	OPART	0.01	80	2	#00BFFF
#00BFFF	80.5	0	1	OPART	0.01	81	2	#00BFFF
#00BFFF	81.5	0	1	OPART	0.01	82	2	#00BFFF
#00BFFF	82.5	0	1	OPART	0.01	83	2	#00BFFF
#00BFFF	83.5	0	1	OPART	0.01	84	2	#00BFFF
#00BFFF	84.5	0	1	OPART	0.01	85	2	#00BFFF
#00BFFF	85.5	0	1	OPART	0.01	86	2	#00BFFF
#00BFFF	86.5	0	1	OPART	0.01	87	2	#00BFFF
#00BFFF	87.5	0	1	OPART	0.01	88	2	#00BFFF
#00BFFF	87.5	0	1	OPART	0.01	89	2	#00BFFF
#00BFFF	89.5	0	1	OPART	0.01	90	2	#00BFFF
#00BFFF	90.5	0	1	OPART	0.01	91	2	#00BFFF
#00BFFF	90.5	0	1	OPART	0.01	92	2	#00BFFF
#00BFFF	92.5	0	1	OPART	0.01	93	2	#00BFFF
#00BFFF	93.5	0	1	OPART	0.01	94	2	#00BFFF
#00BFFF	94.5	0	1	OPART	0.01	95	2	#00BFFF
#00BFFF	95.5	0	1	OPART	0.01	96	2	#00BFFF
#00BFFF	96.5	0	1	OPART	0.01	97	2	#00BFFF
#00BFFF	97.5	0	1	OPART	0.01	98	2	#00BFFF
#00BFFF	98.5	0	1	OPART	0.01	99	2	#00BFFF
#00BFFF	99.5	0	1	OPART	0.01	100	2	#00BFFF
#00BFFF	0.5	0	1	OPART	0.1	1	2	#00BFFF
#00BFFF	1.5	0	1	OPART	0.1	2	2	#00BFFF
#00BFFF	2.5	0	1	OPART	0.1	3	2	#00BFFF
